State,Pollster,Start.date,End.date,Entry Date Time,Mode,Biden,Trump,Biden_Margin
TX,Data for Progress,10/15/2020,10/18/2020,10/19/2020 22:55,Online,47,46,1
AL,Moore Information,10/11/2020,10/14/2020,10/19/2020 19:30,Live Phone,38,55,-17
WA,Public Policy Polling,10/14/2020,10/15/2020,10/19/2020 19:30,IVR,60,37,23
WI,Ipsos,10/13/2020,10/19/2020,10/19/2020 17:29,Online,51,43,8
PA,Ipsos,10/13/2020,10/19/2020,10/19/2020 17:29,Online,49,45,4
--,Morning Consult,10/16/2020,10/18/2020,10/19/2020 15:00,Online,52,43,9
MI,Mitchell Research & Communications,10/18/2020,10/18/2020,10/19/2020 15:00,Online,51,41,10
--,YouGov,10/16/2020,10/18/2020,10/19/2020 15:00,Online,51,40,11
--,IBD/TIPP,10/14/2020,10/18/2020,10/19/2020 15:00,Live Phone/Online,50,44,6
--,USC Dornsife,10/5/2020,10/18/2020,10/19/2020 15:00,Online,52,42,10
--,RMG Research,10/15/2020,10/17/2020,10/19/2020 15:00,Online,51,43,8
WI,Trafalgar Group,10/5/2020,10/18/2020,10/19/2020 15:00,IVR,48,46,2
PA,Trafalgar Group,10/5/2020,10/18/2020,10/19/2020 15:00,IVR,48,46,2
--,Public Religion Research Institute,10/9/2020,10/12/2020,10/19/2020 15:00,Live Phone,55,39,16
VA,Cygnal,10/9/2020,10/11/2020,10/19/2020 15:00,Online,51,42,9
CO,YouGov,10/5/2020,10/9/2020,10/19/2020 15:00,Online,47,38,9
VA,Cygnal,9/22/2020,9/25/2020,10/19/2020 15:00,Online,52,41,11
--,Public Religion Research Institute,9/9/2020,9/22/2020,10/19/2020 15:00,Live Phone,56,43,13
WI,YouGov,10/13/2020,10/16/2020,10/18/2020 12:02,Online,51,46,5
AZ,YouGov,10/13/2020,10/16/2020,10/18/2020 12:02,Online,50,47,3
MO,Remington Research Group,10/14/2020,10/15/2020,10/18/2020 9:00,Online,45,51,-6
MI,Trafalgar Group,10/11/2020,10/14/2020,10/16/2020 14:39,IVR,46,47,-1
AK,NYT/Siena College,10/9/2020,10/14/2020,10/16/2020 14:39,Live Phone,39,45,-6
NJ,Stockton University,10/7/2020,10/13/2020,10/16/2020 14:39,Live Phone,56,36,20
FL,Mason-Dixon Polling & Strategy,10/8/2020,10/12/2020,10/16/2020 14:39,Live Phone,48,45,3
--,Global Strategy Group,10/8/2020,10/12/2020,10/16/2020 14:39,Online,53,43,10
--,NORC,10/8/2020,10/12/2020,10/16/2020 14:39,Live Phone,51,36,15
--,Kaiser Family Foundation,10/7/2020,10/12/2020,10/16/2020 14:39,Live Phone,49,38,11
HI,MRG Research,10/2/2020,10/7/2020,10/16/2020 14:39,Live Phone,61,28,33
--,Edison Research,9/25/2020,10/8/2020,10/15/2020 14:44,Live Phone,48,35,13
PA,Civiqs,10/8/2020,10/11/2020,10/15/2020 14:44,Online,52,45,7
MI,Civiqs,10/8/2020,10/11/2020,10/15/2020 14:44,Online,52,43,9
WI,Civiqs,10/8/2020,10/11/2020,10/15/2020 14:44,Online,53,45,8
OH,Civiqs,10/8/2020,10/11/2020,10/15/2020 14:44,Online,47,50,-3
--,Marist College,10/8/2020,10/13/2020,10/15/2020 14:44,Live Phone,54,43,11
CO,Keating Research,10/8/2020,10/13/2020,10/15/2020 14:18,Live Phone,54,49,5
SC,NYT/Siena College,10/9/2020,10/15/2020,10/15/2020 12:15,Live Phone,41,49,-8
--,Whitman Insight Strategies,10/8/2020,10/13/2020,10/15/2020 12:15,Live Phone,54,42,12
MI,RMG Research,10/8/2020,10/13/2020,10/15/2020 12:15,Online,48,42,6
ME,Pan Atlantic Research,10/2/2020,10/6/2020,10/15/2020 12:15,Online,50,40,10
--,YouGov,10/5/2020,10/12/2020,10/15/2020 12:15,Live Phone,53,43,10
AZ,Monmouth University,10/9/2020,10/13/2020,10/15/2020 12:15,Live Phone,50,45,5
VA,Reconnect Research,9/30/2020,10/12/2020,10/15/2020 8:26,IVR,53,38,15
IA,Data for Progress,10/8/2020,10/11/2020,10/15/2020 8:26,Online,47,48,-1
AZ,OH Predictive Insights,10/4/2020,10/8/2020,10/15/2020 8:26,Online,49,45,4
NC,Civiqs,10/11/2020,10/14/20202,10/15/2020 8:26,Online,51,46,5
CO,Civiqs,10/11/2020,10/14/20202,10/15/2020 8:26,Online,54,42,12
VA,Civiqs,10/11/2020,10/14/20202,10/15/2020 8:26,Online,55,42,13
--,NBC News/Wall Street Journal,10/9/2020,10/12/2020,10/15/2020 1:26,Live Phone,53,42,11
FL,Clearview Reseach,10/7/2020,10/12/2020,10/14/2020 23:19,Live Phone,47,40,7
--,Ipsos,10/9/2020,10/13/2020,10/14/2020 23:19,Online,51,41,10
SC,Data for Progress,10/8/2020,10/11/2020,10/14/2020 23:19,Online,43,52,-9
GA,Data for Progress,10/8/2020,10/11/2020,10/14/2020 23:19,Online,46,46,0
AZ,Ipsos,10/7/2020,10/14/2020,10/14/2020 17:19,Online,50,46,4
FL,Ipsos,10/7/2020,10/14/2020,10/14/2020 17:19,Online,49,47,2
WI,David Binder Research,10/10/2020,10/13/2020,10/14/2020 15:17,Live Phone,53,43,10
MN,David Binder Research,10/10/2020,10/13/2020,10/14/2020 15:17,Live Phone,52,41,11
IA,David Binder Research,10/10/2020,10/13/2020,10/14/2020 15:17,Live Phone,44,50,-6
--,Redfield & Wilton Strategies,10/10/2020,10/10/2020,10/14/2020 15:17,Online,49,41,8
IN,SurveyUSA,10/8/2020,10/13/2020,10/14/2020 15:17,Online,42,49,-7
GA,Quinnipiac University,10/8/2020,10/12/2020,10/14/2020 14:17,Live Phone,51,44,7
OH,Quinnipiac University,10/8/2020,10/12/2020,10/14/2020 14:17,Live Phone,48,47,1
NC,NYT/Siena College,10/9/2020,10/13/2020,10/14/2020 13:19,Live Phone,46,42,4
PA,RMG Research,10/7/2020,10/12/2020,10/14/2020 12:33,Online,49,43,6
LA,Trafalgar Group,10/4/2020,10/6/2020,10/14/2020 12:33,IVR,36,54,-18
MT,Montana State University Bozeman,9/14/2020,10/2/2020,10/14/2020 12:33,Online,44,51,-7
GA,SurveyUSA,10/8/2020,10/12/2020,10/14/2020 12:33,Online,48,46,2
FL,St Pete Polls,10/11/2020,10/12/2020,10/14/2020 12:33,IVR,49,47,2
FL,Trafalgar Group,10/11/2020,10/13/2020,10/14/2020 12:33,IVR,46,48,-2
--,YouGov,10/11/2020,10/13/2020,10/14/2020 8:33,Online,52,42,10
NH,Suffolk University,10/8/2020,10/12/2020,10/14/2020 8:33,Live Phone,51,41,10
MI,EPIC-MRA,10/8/2020,10/12/2020,10/14/2020 8:33,Live Phone,48,39,9
FL,RMG Research,10/4/2020,10/8/2020,10/13/2020 19:41,Online,48,46,2
NC,RMG Research,10/7/2020,10/11/2020,10/13/2020 19:41,Online,47,45,2
NC,SurveyUSA,10/8/2020,10/11/2020,10/13/2020 17:41,Online,50,45,5
NC,Ipsos,10/7/2020,10/13/2020,10/13/2020 17:41,Online,48,48,0
MI,Ipsos,10/7/2020,10/13/2020,10/13/2020 17:41,Online,51,44,7
NH,University of New Hampshire,10/9/2020,10/12/2020,10/13/2020 17:41,Live Phone,55,43,12
WV,Research America Inc.,10/1/2020,10/6/2020,10/13/2020 17:41,IVR,39,53,-14
NC,Monmouth University,10/8/2020,10/11/2020,10/13/2020 11:18,Live Phone,50,47,3
NV,WPA Intelligence,10/7/2020,10/11/2020,10/13/2020 11:18,Live Phone,44,42,2
PA,Trafalgar Group,10/10/2020,10/12/2020,10/13/2020 11:18,IVR,47,45,2
MO,YouGov,9/24/2020,10/7/2020,10/13/2020 11:18,Online,43,52,-9
--,Opinium,10/8/2020,10/12/2020,10/13/2020 11:18,Online,57,40,17
--,Morning Consult,10/9/2020,10/11/2020,10/13/2020 8:38,Online,51,43,8
WI,Morning Consult,10/2/2020,10/11/2020,10/13/2020 8:38,Online,51,44,7
TX,Morning Consult,10/2/2020,10/11/2020,10/13/2020 8:38,Online,47,49,-2
SC,Morning Consult,10/2/2020,10/11/2020,10/13/2020 8:38,Online,42,54,-12
PA,Morning Consult,10/2/2020,10/11/2020,10/13/2020 8:38,Online,52,44,8
OH,Morning Consult,10/2/2020,10/11/2020,10/13/2020 8:38,Online,46,49,-3
NC,Morning Consult,10/2/2020,10/11/2020,10/13/2020 8:38,Online,50,46,4
