State,Biden,Trump,Biden_Margin,Outcome
TX,47,46,1,1
AL,38,55,-17,0
WA,60,37,23,1
WI,51,43,8,1
PA,49,45,4,1
--,52,43,9,1
MI,51,41,10,1
--,51,40,11,1
--,50,44,6,1
--,52,42,10,1
--,51,43,8,1
WI,48,46,2,1
PA,48,46,2,1
--,55,39,16,1
VA,51,42,9,1
CO,47,38,9,1
VA,52,41,11,1
--,56,43,13,1
WI,51,46,5,1
AZ,50,47,3,1
MO,45,51,-6,0
MI,46,47,-1,0
AK,39,45,-6,0
NJ,56,36,20,1
FL,48,45,3,1
--,53,43,10,1
--,51,36,15,1
--,49,38,11,1
HI,61,28,33,1
--,48,35,13,1
PA,52,45,7,1
MI,52,43,9,1
WI,53,45,8,1
OH,47,50,-3,0
--,54,43,11,1
CO,54,49,5,1
SC,41,49,-8,0
--,54,42,12,1
MI,48,42,6,1
ME,50,40,10,1
--,53,43,10,1
AZ,50,45,5,1
VA,53,38,15,1
IA,47,48,-1,0
AZ,49,45,4,1
NC,51,46,5,1
CO,54,42,12,1
VA,55,42,13,1
--,53,42,11,1
FL,47,40,7,1
--,51,41,10,1
SC,43,52,-9,0
GA,46,46,0,0
AZ,50,46,4,1
FL,49,47,2,1
WI,53,43,10,1
MN,52,41,11,1
IA,44,50,-6,0
--,49,41,8,1
IN,42,49,-7,0
GA,51,44,7,1
OH,48,47,1,1
NC,46,42,4,1
PA,49,43,6,1
LA,36,54,-18,0
MT,44,51,-7,0
GA,48,46,2,1
FL,49,47,2,1
FL,46,48,-2,0
--,52,42,10,1
NH,51,41,10,1
MI,48,39,9,1
FL,48,46,2,1
NC,47,45,2,1
NC,50,45,5,1
NC,48,48,0,1
MI,51,44,7,1
NH,55,43,12,1
WV,39,53,-14,0
NC,50,47,3,1
NV,44,42,2,1
PA,47,45,2,1
MO,43,52,-9,0
--,57,40,17,1
--,51,43,8,1
WI,51,44,7,1
TX,47,49,-2,0
SC,42,54,-12,0
PA,52,44,8,1
OH,46,49,-3,0
NC,50,46,4,1
MN,50,44,6,1
MI,51,44,7,1
