STATE,TRUMP,BIDEN,PROJECTION
Alabama,9,—,Solid Trump
Alaska,3,—,Mod Trump
Arizona,—,11,Weak Biden
Arkansas,6,—,Solid Trump
California,—,55,Solid Biden
Colorado,—,9,Mod Biden
Connecticut,—,7,Solid Biden
Delaware,—,3,Solid Biden
Dist. of Columbia,—,3,Solid Biden
Florida,—,29,Weak Biden
Georgia,16,—,Weak Trump
Hawaii,—,4,Solid Biden
Idaho,4,—,Solid Trump
Illinois,—,20,Solid Biden
Indiana,11,—,Strong Trump
Iowa,6,—,Weak Trump
Kansas,6,—,Solid Trump
Kentucky,8,—,Solid Trump
Louisiana,8,—,Solid Trump
Maine,—,3,Mod Biden
Maine CD2,1,—,Mod Trump
Maryland,—,10,Solid Biden
Massachusetts,—,11,Solid Biden
Michigan,—,16,Weak Biden
Minnesota,—,10,Weak Biden
Mississippi,6,—,Solid Trump
Missouri,10,—,Strong Trump
Montana,3,—,Solid Trump
Nebraska,4,—,Solid Trump
Nebraska CD2,—,1,Weak Biden
Nevada,—,6,Weak Biden
New Hampshire,—,4,Mod Biden
New Jersey,—,14,Solid Biden
New Mexico,—,5,Strong Biden
New York,—,29,Solid Biden
North Carolina,—,15,Weak Biden
North Dakota,3,—,Solid Trump
Ohio,18,—,Weak Trump
Oklahoma,7,—,Solid Trump
Oregon,—,7,Strong Biden
Pennsylvania,—,20,Weak Biden
Rhode Island,—,4,Solid Biden
South Carolina,9,—,Mod Trump
South Dakota,3,—,Solid Trump
Tennessee,11,—,Solid Trump
Texas,38,—,Mod Trump
Utah,6,—,Solid Trump
Vermont,—,3,Solid Biden
Virginia,—,13,Mod Biden
Washington,—,12,Solid Biden
West Virginia,5,—,Solid Trump
Wisconsin,—,10,Weak Biden
Wyoming,3,—,Solid Trump
